Title,RN,MLP,SVM,NB
bagOfWords-min preprocess,0.7525000000000000,0.8100000000000000,0.7275000000000000,0.6725
bagOfWords-stop words removal,0.74,0.7775,0.7350000000000000,0.675
bagOfWords-Lemmatization,0.7475,0.7900000000000000,0.7225000000000000,0.6650000000000000
bagOfWords-Lemmatization + stop words removal,0.7575000000000000,0.7775000000000000,0.7300000000000000,0.6650000000000000
tfidf-min preprocess,0.7650000000000000,0.8,0.805,0.6625000000000000
tfidf-stop words removal,0.7575,0.7825,0.8025000000000000,0.6700000000000000
tfidf-Lemmatization,0.76,0.8025000000000000,0.8075000000000000,0.6450000000000000
tfidf-Lemmatization + stop words removal,0.74,0.785,0.7950000000000000,0.64
bagOfWords+tfidf-min preprocess,0.76,0.8175000000000000,0.7275000000000000,0.6625000000000000
bagOfWords+tfidf-stop words removal,0.75,0.7725,0.7350000000000000,0.6700000000000000
bagOfWords+tfidf-Lemmatization,0.77,0.8,0.7225000000000000,0.6475
bagOfWords+tfidf-Lemmatization + stop words removal,0.745,0.7725,0.7300000000000000,0.6425000000000000
doc2vec-min preprocess,0.7975,0.7950000000000000,0.8125,-1
doc2vec-Lemmatization,0.7850000000000000,0.8100000000000000,0.82,-1
doc2vec+bagOfWords-min preprocess,0.7625,0.825,0.795,-1
doc2vec+bagOfWords-Lemmatization,0.7975,0.825,0.8125,-1
doc2vec+tfidf-min preprocess,0.7950000000000000,0.825,0.8100000000000000,-1
doc2vec+tfidf-Lemmatization,0.7925000000000000,0.8225,0.8175000000000000,-1
doc2vec+tfidf+bagOfWords-min preprocess,0.7700000000000000,0.8125,0.795,-1
doc2vec+tfidf+bagOfWords-Lemmatization,0.8,0.8250000000000000,0.8125,-1
inferSent-min preprocess,0.7775,0.8300000000000000,0.82,-1
inferSent-Lemmatization,0.795,0.8175000000000000,0.8175000000000000,-1
inferSent+bagOfWords-min preprocess,0.8125,0.825,0.7350000000000000,-1
inferSent+bagOfWords-Lemmatization,0.7850000000000000,0.825,0.7350000000000000,-1
inferSent+tfidf-min preprocess,0.8000000000000000,0.8325000000000000,0.8100000000000000,-1
inferSent+tfidf-Lemmatization,0.7775,0.8275,0.8100000000000000,-1
inferSent+tfidf+bagOfWords-min preprocess,0.7800000000000000,0.8325000000000000,0.7350000000000000,-1
inferSent+tfidf+bagOfWords-Lemmatization,0.7650000000000000,0.835,0.7350000000000000,-1
miniLM-min preprocess,0.8025,0.86,0.8475000000000000,-1
miniLM-Lemmatization,0.8050000000000000,0.85,0.8375,-1
miniLM+bagOfWords-min preprocess,0.825,0.8300000000000000,0.7275000000000000,-1
miniLM+bagOfWords-Lemmatization,0.8325000000000000,0.8300000000000000,0.7275000000000000,-1
miniLM+tfidf-min preprocess,0.8150000000000000,0.8400000000000000,0.8425,-1
miniLM+tfidf-Lemmatization,0.8225,0.8425,0.8375,-1
miniLM+tfidf+bagOfWords-min preprocess,0.825,0.8375,0.7275000000000000,-1
miniLM+tfidf+bagOfWords-Lemmatization,0.8425000000000000,0.8325000000000000,0.7275000000000000,-1
mpnet-min preprocess,0.8700000000000000,0.86,0.8875,-1
mpnet-Lemmatization,0.865,0.8675,0.885,-1
mpnet+bagOfWords-min preprocess,0.865,0.8450000000000000,0.73,-1
mpnet+bagOfWords-Lemmatization,0.8550000000000000,0.8475000000000000,0.73,-1
mpnet+tfidf-min preprocess,0.8525,0.89,0.8700000000000000,-1
mpnet+tfidf-Lemmatization,0.8550000000000000,0.8800000000000000,0.885,-1
mpnet+tfidf+bagOfWords-min preprocess,0.8550000000000000,0.8475000000000000,0.73,-1
mpnet+tfidf+bagOfWords-Lemmatization,0.8575000000000000,0.8450000000000000,0.73,-1
roberta-min preprocess,0.8725000000000000,0.85,0.89,-1
roberta-Lemmatization,0.8525,0.8625,0.8875,-1
roberta+bagOfWords-min preprocess,0.85,0.8375,0.7275000000000000,-1
roberta+bagOfWords-Lemmatization,0.8475000000000000,0.835,0.7275000000000000,-1
roberta+tfidf-min preprocess,0.8475000000000000,0.8650000000000000,0.8775000000000000,-1
roberta+tfidf-Lemmatization,0.845,0.865,0.8775000000000000,-1
roberta+tfidf+bagOfWords-min preprocess,0.8325000000000000,0.8450000000000000,0.7275000000000000,-1
roberta+tfidf+bagOfWords-Lemmatization,0.8425000000000000,0.8450000000000000,0.7275000000000000,-1
USE-min preprocess,0.8625,0.845,0.8850000000000000,-1
USE-Lemmatization,0.8525,0.8275,0.8775000000000000,-1
USE+bagOfWords-min preprocess,0.8575000000000000,0.8300000000000000,0.7275000000000000,-1
USE+bagOfWords-Lemmatization,0.8575000000000000,0.8325000000000000,0.7275000000000000,-1
USE+tfidf-min preprocess,0.865,0.8625,0.8725000000000000,-1
USE+tfidf-Lemmatization,0.8725000000000000,0.865,0.8975,-1
USE+tfidf+bagOfWords-min preprocess,0.86,0.835,0.7275000000000000,-1
USE+tfidf+bagOfWords-Lemmatization,0.8550000000000000,0.835,0.7275000000000000,-1